ACCX,GYRX,ACCY,GYRY,ACCZ,GYRZ
16600,65199,48,139,63244,20
16828,65153,65504,158,63272,8
16872,65157,65468,178,63244,16
16420,65155,65472,157,63232,42
16888,65171,32,170,63336,17
16728,65173,12,147,63332,45
16744,65139,72,155,63192,41
16672,65178,65512,162,63316,30
16680,65173,0,131,63228,42
16684,65182,65508,151,63264,42
16652,65160,20,175,63224,45
16652,65176,65484,135,63252,61
16680,65182,65496,119,63244,21
16692,65166,65508,142,63252,49
16780,65155,44,157,63136,36
16740,65172,24,144,63236,82
16664,65168,65460,127,63256,43
16760,65164,65508,158,63348,29
16664,65162,65464,153,63248,62
16628,65191,65520,147,63156,34
16700,65145,65488,139,63236,59
16600,65165,65488,124,63244,55
16604,65191,65480,133,63224,26
16708,65186,12,148,63232,41
16780,65172,65448,117,63144,32
16712,65181,65488,152,63316,33
16732,65164,65488,161,63232,45
16668,65171,65476,165,63236,38
16720,65169,76,144,63336,18
16608,65173,65428,147,63260,51
16680,65159,28,163,63216,20
16732,65173,65488,153,63184,52
16748,65166,65448,165,63228,31
16712,65179,65508,155,63196,45
16756,65172,32,119,63176,55
16668,65149,65500,127,63396,31
16744,65172,65480,140,63408,52
16696,65154,65392,169,63216,45
16608,65172,65404,111,63344,53
16648,65180,65524,132,63380,24
16616,65150,65484,154,63236,46
16656,65150,65468,113,63456,38
16692,65171,40,108,63296,12
16692,65185,12,154,63256,38
16616,65161,65492,146,63156,25
16788,65169,65524,114,63460,40
16716,65175,65508,130,63004,38
16660,65173,65516,134,63300,38
16532,65161,65488,150,63304,3
16712,65180,65436,147,63312,46
16708,65173,65532,134,63456,37
16728,65181,132,158,63284,36
16608,65165,65356,140,63312,35
16668,65167,40,161,63288,20
16608,65164,65504,137,63328,40
16720,65164,40,137,63140,31
16652,65183,60,143,63224,19
16864,65178,0,159,63268,36
16652,65157,65496,119,63232,47
16744,65158,65452,165,63180,21
16644,65185,65440,150,63272,24
16620,65181,24,152,63360,41
16704,65151,65468,153,63168,38
16740,65193,65496,158,63240,32
16744,65135,65532,127,63204,33
16668,65165,72,141,63284,56
16676,65163,65484,149,63272,45
16656,65178,65516,118,63356,31
16644,65158,65432,131,63316,52
16636,65168,65488,158,63372,46
16692,65166,65512,148,63248,41
16696,65165,4,114,63272,21
