ACCX,GYRX,ACCY,GYRY,ACCZ,GYRZ
16508,65173,65448,171,63356,21
16800,65166,132,196,63300,17
16688,65186,65520,244,63404,26
16572,65160,65520,263,63304,55
16616,65178,12,210,63344,57
16772,65182,65500,176,63344,19
16668,65165,65508,139,63392,24
16804,65182,16,156,63192,51
16716,65182,65516,156,63212,57
16476,65153,28,145,63468,56
16480,65178,65440,143,63080,39
16868,65161,68,150,63168,41
16804,65176,65432,139,63172,42
16620,65187,65468,127,63360,29
16604,65179,16,126,63228,26
16300,65192,65496,104,63092,19
15840,65159,65360,163,63028,65446
16440,65158,65256,253,63280,65525
16704,65173,65512,324,63244,3
16364,65153,65276,197,63440,22
16732,65173,65344,172,63272,5
16928,65178,65500,125,63200,48
16696,65195,100,141,63152,44
16532,65161,108,130,63156,21
16724,65173,8,159,63304,2
16960,65158,65496,129,63276,14
16764,65156,64,104,63080,52
16632,65165,65404,58,63432,45
16668,65165,65528,108,63224,39
16596,65153,65528,128,63224,48
16752,65167,76,121,63216,53
16748,65171,65460,149,63412,30
16788,65183,65460,160,63256,46
16556,65192,65508,137,63272,40
16700,65159,65436,116,63196,38
16772,65164,65448,118,63164,56
16672,65151,65492,137,63060,52
16768,65149,4,178,63128,66
16652,65165,65504,119,63232,39
16640,65148,65456,148,63328,40
16716,65178,65516,150,63312,66
16656,65175,65472,126,63332,31
16668,65172,65472,162,63172,38
16648,65151,65528,102,63116,1
16404,65166,65528,155,63268,42
16792,65166,65480,164,63208,31
16536,65189,65424,183,63348,31
16652,65181,65464,134,63184,33
16772,65156,65488,141,63200,33
16708,65149,65528,135,63168,28
16728,65178,144,145,63284,22
16744,65174,65484,163,63228,48
16692,65186,65468,142,63328,58
16632,65150,65484,126,63192,49
16664,65194,65512,137,63328,35
16664,65188,65400,176,63216,54
16632,65178,65532,139,63216,50
16676,65172,65468,154,63264,62
16708,65152,24,144,63268,24
16704,65164,65436,149,63288,77
16612,65169,36,160,63292,44
16676,65164,64,155,63288,55
16656,65147,65520,164,63240,63
16676,65163,65428,152,62976,66
16680,65165,44,192,63264,81
16656,65173,65520,139,63228,61
16676,65150,116,154,63324,42
16652,65157,65432,154,63128,43
16732,65175,65496,120,63212,51
16716,65150,236,141,63276,45
16792,65144,65492,128,63236,38
16660,65175,65528,168,63252,45
16660,65180,44,152,63192,16
16704,65161,16,130,63236,53
16668,65158,65436,145,63260,10
16528,65162,56,141,63304,38
16732,65162,65532,129,63424,37
16648,65176,65432,138,63132,17
16684,65167,65436,169,63244,28
16748,65182,65400,137,63364,11
5464,58811,49104,32768,32768,8243
59804,46133,64968,3263,56392,692
32767,47513,1728,22048,32767,3508
31312,51469,63040,60406,58800,3451
5260,53352,64136,64288,58732,520
16344,54686,65424,6986,65044,65283
17880,55971,1468,64803,64852,634
16148,60531,1412,972,63668,233
16608,64602,296,65116,65088,154
16516,65192,60,65386,62916,74
16760,65195,92,164,63604,26
16804,65132,60,207,62920,53
16740,65149,65444,155,63020,61
16644,65156,65368,122,63296,51
16556,65184,65332,145,63388,53
16576,65169,65448,113,63484,42
16780,65178,65496,169,63096,36
16776,65162,64,131,63272,74
16460,65161,56,184,63052,55
16520,65172,65504,142,63356,37
16560,65157,65440,139,63296,25
16696,65188,65468,124,63364,27
16632,65166,65484,139,63300,23
16696,65179,65444,141,63096,73
16592,65171,65524,128,63064,25
16668,65173,4,146,63288,34
16700,65179,4,181,63304,32
16712,65170,65520,174,63360,38
16704,65164,65504,146,63468,44
16724,65145,65444,144,63348,31
16744,65147,104,123,63212,29
16640,65147,65520,150,63212,30
16692,65127,65528,162,63200,14
16640,65160,65520,160,63344,24
16712,65162,65452,182,63184,29
16620,65189,8,138,63260,4
16692,65177,65512,161,63416,33
16632,65167,65524,148,63208,23
16708,65167,40,111,63268,29
16644,65162,0,133,63436,31
2724,65143,64432,121,59972,242
19108,65158,64680,2886,72,64929
16684,65189,136,726,62024,65499
16212,65178,65460,65395,62732,68
16448,65173,148,65399,63392,45
17172,65135,156,38,63552,65532
16648,65167,65344,211,63260,50
16532,65164,65516,205,63232,39
16684,65183,65472,136,63480,36
16728,65171,65528,168,63260,30
16604,65174,65528,90,63180,14
16876,65155,68,149,63076,3
16808,65174,65512,169,63128,37
16652,65179,65456,155,63208,42
16608,65172,65420,162,63324,9
16932,65200,64364,64958,60924,162
20116,65171,924,1120,65212,65199
17972,65176,56,727,63504,65515
16428,65162,65480,155,63076,41
16432,65157,72,65498,63032,31
16680,65130,60,73,63228,16
16612,65131,65344,83,63032,30
16640,65163,65512,161,63256,37
16604,65187,16,124,63348,49
16608,65168,16,135,63196,15
16668,65171,88,108,63132,34
16956,65145,12,134,63108,6
16828,65148,196,178,63252,33
1120,65246,1056,61643,5320,738
6724,65208,896,1195,60040,571
15616,65202,65028,255,61804,86
16220,65170,65192,65093,63084,111
16728,65161,236,65450,63604,82
16672,65163,268,214,63436,14
16788,65154,65412,196,63200,16
16840,65156,65500,217,63304,55
16568,65173,65432,168,63376,48
16648,65190,65420,128,63216,72
16412,65194,12,113,63296,40
16976,65167,88,125,63104,50
16848,65166,140,163,63064,52
16504,65154,80,188,63104,59
3060,65151,65128,111,60388,194
16200,65155,64412,883,65256,65253
16452,65214,65472,900,63164,65473
16892,65186,65508,228,62964,45
16676,65160,224,43,63144,38
16684,65157,48,61,63372,65532
16740,65136,65472,113,63156,65529
16808,65167,65460,166,63408,3
16804,65179,65336,150,63280,48
16584,65173,65380,133,63300,29
16528,65214,20,141,63104,3
16980,65178,156,109,63112,48
16784,65177,100,131,63032,53
16712,65158,65512,173,63348,67
8248,65209,65508,64743,60984,489
14228,65162,64784,1111,63780,204
15096,65202,65344,713,62548,90
17052,65175,65456,197,63256,69
16836,65169,56,83,63204,43
16840,65165,176,89,63276,65518
16784,65154,65436,91,63060,17
16860,65146,65476,188,63428,50
16724,65175,65400,195,63344,73
16632,65179,65472,167,63384,67
16452,65170,65460,113,63280,29
16988,65185,92,117,63124,15
16900,65154,40,161,63096,64
16308,65149,65116,246,1280,65381
12960,65185,64668,166,62376,84
15892,65172,65492,65193,62728,75
16384,65168,65372,65507,62860,73
16600,65185,65520,166,63288,53
16864,65182,112,144,63404,22
17008,65137,64,160,63388,6
16984,65140,65504,140,63184,22
16680,65160,65408,125,63300,27
16632,65162,65396,147,63236,24
16572,65186,65464,133,63336,36
16852,65177,104,123,63280,4
16960,65173,68,160,63192,39
16764,65148,204,189,63128,45
16556,65154,65348,151,63264,48
30368,65133,64024,1029,61880,64884
22892,65157,63960,1085,63556,65026
17500,65183,316,136,62484,89
16588,65165,65408,65473,63068,135
17076,65185,16,18,63748,53
17044,65142,260,47,63368,33
17036,65136,65448,49,63376,12
16744,65138,65320,133,63124,44
16568,65173,65460,119,63384,44
16500,65172,65408,156,63248,34
16484,65185,65420,110,63164,27
16828,65167,52,121,63072,38
16808,65164,12,168,63104,93
16592,65146,65436,165,63260,58
16508,65162,65436,150,63340,52
16652,65171,65416,124,63224,52
16692,65159,65500,119,63256,31
16728,65184,96,247,63052,65509
18008,65158,140,25,63744,53
17100,65150,108,111,63328,55
16652,65168,48,164,63256,74
16668,65139,65460,126,63304,19
16776,65178,65356,149,63348,44
16640,65184,65272,155,63300,63
16572,65202,20,132,63188,47
16764,65165,56,119,63184,51
16696,65165,32,145,63092,42
16656,65155,65484,150,63176,50
16732,65187,65428,168,63228,38
16636,65182,65476,125,63284,63
16704,65190,65440,144,63328,46
16680,65175,76,132,63272,49
16748,65171,48,125,63316,34
16692,65177,16,157,63328,40
16696,65159,65504,148,63268,41
16780,65164,65436,130,63216,59
16764,65198,65488,162,63032,61
16600,65190,65464,148,63436,51
16660,65168,36,140,63232,48
16572,65189,65496,119,63284,2
16768,65159,65504,126,63152,24
16736,65174,16,176,63396,34
16624,65169,36,160,63356,37
16532,65144,65392,125,63276,31
16700,65167,65480,141,63264,15
16792,65171,65504,135,63268,0
16780,65151,8,141,63148,19
16628,65167,48,166,63224,42
16712,65156,65312,132,63244,11
16712,65162,65320,174,63208,35
16708,65158,65508,135,63288,12
16612,65157,65456,144,63368,45
16740,65160,4,112,63224,14
16644,65165,4,124,63180,16
16788,65167,65460,159,63120,31
16776,65157,20,158,63216,26
16768,65162,65508,154,63316,46
16712,65147,65468,151,63232,43
16628,65178,65472,156,63296,5
16776,65187,12,165,63284,47
16800,65166,80,163,63152,39
16640,65168,8,133,63240,67
16592,65146,65500,118,63148,45
16732,65175,65468,122,63184,38
16712,65179,65480,124,63280,70
16648,65181,65444,128,63272,39
16712,65173,65504,150,63212,34
16716,65163,65484,148,63292,73
16708,65166,65408,140,63356,48
16672,65158,16,132,63304,60
16608,65165,44,166,63388,25
16688,65154,24,139,63264,45
16604,65174,8,161,63196,39
16724,65155,12,116,63136,35
16708,65192,65520,170,63208,45
16672,65170,120,158,63160,21
16672,65153,52,167,63240,13
16728,65148,72,152,63380,18
16736,65170,65512,166,63404,9
16736,65172,65420,115,63236,29
16644,65168,65504,125,63012,37
16704,65167,65480,102,63452,41
16784,65154,65472,123,63236,31
16748,65142,65520,141,63188,36
16668,65168,52,147,63152,39
16768,65157,65520,157,63412,49
16720,65157,65384,126,63236,41
16648,65167,65444,136,63280,60
16596,65163,65464,130,63304,55
16668,65181,24,164,63300,63
16756,65154,104,127,63240,46
16672,65149,65460,141,63268,48
16792,65158,65516,171,63160,52
16520,65162,65496,174,63108,66
16732,65155,65440,127,63084,40
16696,65175,12,180,63380,39
16688,65167,65492,157,63180,44
16732,65168,65444,127,63048,45
16720,65154,68,155,62980,55
16668,65167,65456,139,63340,52
16696,65175,65520,155,63248,46
16684,65170,65472,145,63236,37
16804,65177,65448,151,63256,43
16704,65192,92,155,63060,9
16628,65172,65532,125,63256,25
16692,65132,65488,120,63288,14
16880,65176,65496,120,63336,27
26504,65159,64992,1034,60944,65417
18400,65153,65140,40,63756,65529
18924,65161,65440,49,64220,17
17248,65204,76,81,63348,71
16684,65178,56,153,63400,35
16568,65206,12,170,63184,29
16756,65170,80,201,63164,29
16848,65156,65504,172,63300,24
16792,65179,65512,202,63348,65
16336,65164,65516,154,63356,38
16636,65155,65476,141,63212,30
16672,65179,0,105,63188,49
16964,65185,65528,128,63212,48
16628,65165,20,160,63184,59
16588,65172,65504,181,63192,31
16632,65166,65492,119,63320,34
16728,65178,65492,139,63144,36
16736,65190,4,162,63380,61
16592,65177,16,164,63224,37
16584,65161,65532,137,63364,45
16700,65169,52,136,63200,48
16828,65151,65512,159,63188,26
16668,65166,8,159,63216,35
16628,65172,65480,128,63176,18
16580,65190,65512,144,63192,27
16820,65194,0,143,63216,6
16788,65169,0,162,63212,18
16548,65162,44,141,63264,37
16600,65184,65504,150,63264,33
16660,65134,65428,119,63336,6
16720,65174,65456,105,63232,23
16728,65168,65512,126,63228,31
16708,65191,65428,148,63216,25
16580,65184,65496,139,63228,37
16728,65171,65516,147,63248,32
16780,65171,65400,140,63316,37
16652,65188,65460,152,63460,50
16604,65155,65476,177,63416,26
16552,65165,65396,119,63268,36
16668,65156,60,140,63292,42
16836,65174,65500,154,63256,51
29228,65170,1032,1100,2416,65126
13688,65154,756,65234,61388,65463
15780,65193,44,231,62684,108
16236,65153,65300,220,62976,99
16408,65162,65412,61,63124,54
16324,65174,36,78,63208,69
16432,65149,32,37,63200,52
16532,65148,65532,131,63136,60
16776,65171,65296,168,63248,64
16740,65163,65492,181,63132,31
16612,65202,65448,164,63352,32
16772,65178,12,78,63252,11
16704,65156,0,143,63084,33
16768,65149,68,132,63016,41
16612,65143,65532,152,63140,61
16656,65188,65416,153,63224,22
16740,65176,65456,128,63424,45
16736,65164,65528,148,63196,29
16604,65156,65520,168,63340,34
16636,65191,20,158,63380,21
16612,65150,65504,132,63256,65531
16720,65179,48,114,63296,24
16816,65152,65512,159,63076,21
16760,65185,65424,145,63180,50
16564,65179,65460,152,63212,20
16616,65175,65488,139,63296,43
16728,65159,36,157,63160,18
16724,65167,100,140,63108,46
16600,65173,65480,155,63212,48
16624,65168,0,138,63496,65533
16724,65141,36,118,63244,25
16812,65191,65412,127,63188,45
16592,65185,65468,141,63208,55
16624,65186,65508,135,63272,60
16768,65187,65516,156,63256,12
16744,65167,65516,123,63184,12
16656,65179,65488,141,63312,24
16704,65187,65480,122,63280,33
16560,65149,65480,141,63352,38
16668,65151,65436,123,63252,13
16840,65169,8,147,63148,29
16620,65194,65496,154,63204,25
16684,65181,28,165,63196,27
13448,65167,64272,132,65288,20
19884,65159,65000,783,63944,65467
15940,65145,65528,26,62884,91
17260,65181,65432,211,63424,50
17616,65182,65376,278,63764,62
16996,65184,64,133,63248,33
16836,65159,132,76,63124,18
16940,65171,124,76,62980,32
16768,65167,24,127,63264,38
16504,65173,65352,160,63464,48
16408,65182,65344,152,63484,29
16724,65178,65452,119,63380,47
16776,65174,44,142,63288,51
16740,65160,124,146,63148,86
16664,65144,65496,161,63168,43
16724,65176,65396,131,63144,24
16728,65153,65364,130,63272,55
16812,65164,65508,181,63244,83
16744,65193,65452,133,63200,60
16640,65174,8,135,63084,61
9760,65185,65468,64709,536,75
16172,65172,156,65235,63396,35
15656,65173,65424,65241,63608,93
15976,65175,65472,29,63340,93
16492,65183,65528,165,63112,78
16448,65166,28,166,63140,48
16764,65162,65508,128,63108,29
16888,65183,65532,117,63336,19
16876,65147,65508,180,63300,43
16556,65177,65500,129,63444,41
16500,65176,65464,132,63432,3
16716,65160,65504,108,63256,4
16800,65162,84,117,63036,30
16680,65171,44,147,63100,48
16556,65168,32,152,63216,27
16532,65161,65412,116,63316,11
16736,65192,65464,126,63192,10
16712,65176,65504,143,63392,16
16592,65181,24,149,63344,41
9832,65154,64628,65494,64236,65510
24900,65142,680,1493,62676,65297
19020,65153,88,417,62732,65479
17024,65147,65400,151,63240,20
16800,65178,65412,180,63312,82
16724,65172,65436,101,63052,45
16828,65166,12,74,63156,35
16692,65184,144,97,63184,22
16884,65175,16,119,63416,59
16544,65168,65472,174,63412,63
16436,65178,65520,125,63560,33
16640,65179,65456,124,63428,30
16844,65163,65448,120,63320,41
16804,65180,65508,126,63032,51
16548,65166,72,141,63008,24
16672,65173,65520,118,63016,36
16644,65163,65488,146,63280,50
16844,65175,65468,149,63204,59
16532,65169,65496,172,63480,79
16512,65192,65496,164,63488,33
16616,65150,72,134,63504,43
16732,65168,65532,139,63144,57
16772,65171,65528,136,63204,57
16700,65159,65432,128,63200,35
16752,65171,65432,132,63156,52
17204,65147,64936,65423,63180,65526
14516,65140,208,1089,63060,65388
15544,65160,65220,220,62852,65481
17268,65176,65456,187,63440,61
17440,65161,65336,159,63720,77
16868,65163,100,42,63320,31
16724,65158,36,14,63088,19
16892,65162,76,97,63036,10
16656,65160,65468,155,62988,60
16500,65168,65452,187,63332,29
16432,65183,65468,173,63412,26
16752,65174,65456,130,63408,65526
16800,65182,32,144,63120,27
16604,65158,116,172,63340,26
16448,65151,65456,165,63200,39
16680,65161,65448,139,63260,14
16740,65146,65496,112,63132,25
16780,65158,65456,135,63112,51
16692,65142,65440,173,63252,34
16568,65210,65472,169,63280,37
16696,65160,64,154,63276,24
16792,65165,36,160,63296,59
8992,65131,65432,771,61292,65139
17608,65146,65528,65320,63808,43
17644,65168,108,303,63328,89
16572,65167,96,244,62876,53
16568,65189,65484,79,62892,52
16480,65155,12,120,62812,104
16544,65157,65472,99,63060,38
16620,65173,65472,156,63156,41
16812,65166,65496,178,63412,11
16528,65154,65416,195,63568,43
16464,65189,65424,135,63404,32
16616,65203,96,128,63304,0
16836,65141,164,142,63148,33
16960,65169,96,140,63100,37
16700,65167,8,172,63104,43
16540,65158,65428,153,63512,25
16668,65170,65372,150,63236,65533
16780,65179,65496,139,63252,14
16692,65190,88,159,63456,38
16628,65171,44,133,63128,17
16584,65147,65528,171,63196,17
16620,65151,65532,131,63288,32
16732,65153,65480,110,63216,50
16776,65178,65376,151,63212,28
16628,65165,65472,153,63208,42
16732,65184,65452,165,63276,45
16732,65179,65516,107,63120,9
16724,65166,112,128,63224,28
16668,65167,65456,132,63320,23
16592,65152,65428,156,63444,20
16624,65173,65472,131,63268,29
16700,65169,65360,118,63208,1
16704,65190,4,167,63000,26
16652,65186,96,141,63176,59
16652,65164,52,142,63112,31
16684,65165,0,144,63160,36
16656,65177,65456,140,63296,60
16752,65160,65468,147,63396,40
16600,65175,52,150,63288,39
16712,65187,65532,144,63168,14
16704,65168,96,115,63216,24
6884,65117,64892,179,61472,65530
25500,65130,65184,1443,864,65351
17892,65155,65456,223,63416,65518
17264,65170,65468,123,63120,65532
17200,65179,65464,248,63492,91
16672,65189,144,113,63028,23
16668,65171,65508,96,63164,27
16868,65164,12,83,63256,13
16860,65151,65492,137,63288,37
16540,65172,65504,186,63252,33
16440,65143,65432,110,63420,9
16652,65168,65332,108,63340,0
16888,65153,65524,119,63260,65533
16876,65171,100,164,63028,20
16588,65170,12,178,63044,44
16556,65160,65412,152,63120,25
16680,65173,65460,149,63204,25
16784,65173,65484,138,63320,29
16744,65174,65456,171,63428,48
16384,65150,65512,158,63360,62
16548,65166,65444,119,63440,37
16632,65149,65512,131,63184,30
16776,65167,0,128,63072,50
16692,65175,65432,160,63132,70
16592,65168,16,164,63128,59
16644,65153,65484,119,63264,68
16800,65184,65532,111,63208,66
16780,65167,65436,154,63316,49
16660,65147,12,159,63340,56
16628,65176,65484,148,63424,51
16504,65144,65428,92,63288,29
16888,65137,4,121,63208,11
17012,65154,65508,122,63184,45
16828,65156,88,192,63080,84
16344,65154,65404,187,63220,50
16468,65153,65468,126,63168,11
16988,65162,40,109,63296,4
17072,65161,65468,155,63180,17
16552,65176,65516,164,63384,63
16372,65182,65464,130,63384,7
16784,65151,65424,90,63172,65524
17056,65166,65524,100,62980,65518
16828,65170,65484,158,63080,40
16584,65195,65468,186,63116,60
16464,65164,65480,147,63168,27
16760,65181,65376,130,63460,23
16704,65186,65440,117,63192,65534
16736,65178,48,156,63400,26
16384,65173,65504,159,63320,36
16484,65199,65448,126,63244,4
16664,65141,65440,127,63228,0
16872,65161,65500,146,63180,35
16712,65177,65508,170,63028,37
16544,65154,65464,155,63188,51
16604,65177,65464,125,63284,14
16692,65191,28,135,63292,26
16772,65153,24,144,63268,36
16708,65140,65468,163,63364,37
16540,65149,65444,151,63400,60
16644,65178,65496,126,63256,11
16860,65163,65464,136,63216,44
16692,65179,65484,145,63184,57
16808,65177,65448,153,63376,64
16592,65174,24,135,63196,63
16688,65166,36,124,63148,47
16692,65174,65480,156,63308,33
16656,65158,4,155,63336,75
16740,65167,65488,137,63212,50
16676,65180,65500,142,63208,29
16736,65166,65524,140,63284,31
16724,65166,44,143,63244,30
16704,65173,65520,150,63244,47
16604,65161,65496,180,63232,31
16676,65191,65460,148,63272,7
16760,65177,65492,141,63152,29
16720,65165,12,126,63304,23
16580,65160,65472,149,63284,39
16688,65169,65512,143,63228,48
16736,65198,12,139,63228,41
16652,65155,12,132,63288,50
16680,65178,16,149,63284,46
16660,65175,24,164,63152,47
16692,65183,28,119,63164,44
16696,65183,65472,126,63224,61
16668,65167,65532,151,63220,36
16608,65178,65496,125,63296,70
16596,65157,65488,170,63496,60
16868,65151,65520,120,63268,46
16592,65157,65480,137,63372,53
16712,65167,65484,133,63180,64
16764,65164,4,146,63188,44
16612,65145,65504,141,63404,43
16736,65181,65512,164,63004,20
16640,65169,65484,136,63208,59
16760,65149,65464,153,63212,20
16660,65153,4,157,63232,40
16636,65148,65332,166,63188,4
16624,65155,220,155,63364,15
16688,65161,84,146,63228,34
16620,65169,65516,139,63236,25
16636,65157,65476,132,63324,25
16692,65154,24,158,63448,5
